path, resolution
../pdb\human_interaction_partners\ACE2\6m18 2.9
../pdb\human_interaction_partners\TCP2\6j8e 3.0
../pdb\human_interaction_partners\TCP2\6kzp 3.1
../pdb\human_interaction_partners\TCP2\6du8 3.11
../pdb\human_interaction_partners\TCP2\6agf 3.2
../pdb\human_interaction_partners\TCP2\6j8g 3.2
../pdb\human_interaction_partners\TCP2\6j8h 3.2
../pdb\human_interaction_partners\TCP2\6j8i 3.2
../pdb\human_interaction_partners\TCP2\6j8j 3.2
../pdb\human_interaction_partners\TCP2\6kzo 3.3
../pdb\human_interaction_partners\TCP2\6nq2 3.4
../pdb\human_interaction_partners\TCP2\6nt3 3.4
../pdb\human_interaction_partners\TCP2\6nq1 3.5
../pdb\human_interaction_partners\TCP2\6nt4 3.5
../pdb\human_interaction_partners\TCP2\6n4q 3.6
../pdb\human_interaction_partners\TCP2\6nq0 3.7
../pdb\human_interaction_partners\TCP2\6n4r 4.2
../pdb\human_interaction_partners\ACE2\6m1d 4.5
pdb/membrane_glycoprotein/SARS-CoV-2/7vgr 2.7
pdb/membrane_glycoprotein/SARS-CoV-2/7vgs 2.8
pdb/membrane_glycoprotein/SARS-CoV-2/8ctk 3.52
pdb/leader_protein/SARS-CoV-2/6zlw 2.6
pdb/leader_protein/SARS-CoV-2/6zmi 2.6
pdb/leader_protein/SARS-CoV-2/6zm7 2.7
pdb/leader_protein/SARS-CoV-2/7jqb 2.7
pdb/leader_protein/SARS-CoV-2/6zoj 2.8
pdb/leader_protein/SARS-CoV-2/6zok 2.8
pdb/leader_protein/SARS-CoV-2/6zol 2.8
pdb/leader_protein/SARS-CoV-2/6zp4 2.9
pdb/leader_protein/SARS-CoV-2/7k5i 2.9
pdb/leader_protein/SARS-CoV-2/6zme 3.0
pdb/leader_protein/SARS-CoV-2/6zmt 3.0
pdb/leader_protein/SARS-CoV-2/6zon 3.0
pdb/leader_protein/SARS-CoV-2/6zmo 3.1
pdb/leader_protein/SARS-CoV-2/6zn5 3.2
pdb/leader_protein/SARS-CoV-2/7jqc 3.3
pdb/leader_protein/SARS-CoV/7opl 4.12
pdb/helicase-nsp7-nsp8-rna_polymerase/SARS-CoV-2/7re1 2.91
pdb/helicase-nsp7-nsp8-rna_polymerase/SARS-CoV-2/7rdy 3.1
